Jurisdiction,iso_3166_2,YearDur,Year,Fuel,Unit,Quantity
AUS,AU-AUS,7-Aug,#VALUE!,Oil products,GWh,4058
AUS,AU-AUS,7-Aug,#VALUE!,Other,GWh,106
AUS,AU-AUS,7-Aug,#VALUE!,Small-scale solar PV,GWh,122.8
AUS,AU-AUS,7-Aug,#VALUE!,Total,GWh,243217.1
AUS,AU-AUS,7-Aug,#VALUE!,Total non-renewable,GWh,223347.8
AUS,AU-AUS,7-Aug,#VALUE!,Total renewable,GWh,19869.3
AUS,AU-AUS,7-Aug,#VALUE!,Wind,GWh,3093.1
AUS,AU-AUS,8-Sep,#VALUE!,"Bagasse, wood",GWh,1763.4
AUS,AU-AUS,8-Sep,#VALUE!,Biogas,GWh,1031.8
AUS,AU-AUS,8-Sep,#VALUE!,Black coal,GWh,127270.5
AUS,AU-AUS,8-Sep,#VALUE!,Brown coal,GWh,56981.4
AUS,AU-AUS,8-Sep,#VALUE!,Geothermal,GWh,0.5
AUS,AU-AUS,8-Sep,#VALUE!,Hydro,GWh,11869.4
AUS,AU-AUS,8-Sep,#VALUE!,Large-scale solar PV,GWh,
AUS,AU-AUS,8-Sep,#VALUE!,Natural gas,GWh,37660.4
AUS,AU-AUS,8-Sep,#VALUE!,Oil products,GWh,3387.9
AUS,AU-AUS,8-Sep,#VALUE!,Other,GWh,
AUS,AU-AUS,8-Sep,#VALUE!,Small-scale solar PV,GWh,155.6
AUS,AU-AUS,8-Sep,#VALUE!,Total,GWh,243944.697
AUS,AU-AUS,8-Sep,#VALUE!,Total non-renewable,GWh,225300.2
AUS,AU-AUS,8-Sep,#VALUE!,Total renewable,GWh,18644.497
AUS,AU-AUS,8-Sep,#VALUE!,Wind,GWh,3823.797
AUS,AU-AUS,9-Oct,#VALUE!,"Bagasse, wood",GWh,1761.8
AUS,AU-AUS,9-Oct,#VALUE!,Biogas,GWh,1015.6
AUS,AU-AUS,9-Oct,#VALUE!,Black coal,GWh,123724.5
AUS,AU-AUS,9-Oct,#VALUE!,Brown coal,GWh,56068.3
AUS,AU-AUS,9-Oct,#VALUE!,Geothermal,GWh,0.5
AUS,AU-AUS,9-Oct,#VALUE!,Hydro,GWh,13548.7
AUS,AU-AUS,9-Oct,#VALUE!,Large-scale solar PV,GWh,
AUS,AU-AUS,9-Oct,#VALUE!,Natural gas,GWh,44587.8
AUS,AU-AUS,9-Oct,#VALUE!,Oil products,GWh,3106.8
AUS,AU-AUS,9-Oct,#VALUE!,Other,GWh,
AUS,AU-AUS,9-Oct,#VALUE!,Small-scale solar PV,GWh,424.8
AUS,AU-AUS,9-Oct,#VALUE!,Total,GWh,249290.509
AUS,AU-AUS,9-Oct,#VALUE!,Total non-renewable,GWh,227487.4
AUS,AU-AUS,9-Oct,#VALUE!,Total renewable,GWh,21803.109
AUS,AU-AUS,9-Oct,#VALUE!,Wind,GWh,5051.709
AUS,AU-AUS,10-Nov,#VALUE!,"Bagasse, wood",GWh,1077
AUS,AU-AUS,10-Nov,#VALUE!,Biogas,GWh,1024.7
AUS,AU-AUS,10-Nov,#VALUE!,Black coal,GWh,116948.8
AUS,AU-AUS,10-Nov,#VALUE!,Brown coal,GWh,55298.1
AUS,AU-AUS,10-Nov,#VALUE!,Geothermal,GWh,0.5
